,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p31033,0.00145290061744185,0.00014976195943741617,4.2669188735866185e-06,0.4475996781718835,1.212109641244541e-07,0.0003437497963633831,1.150590677360575e-05,0.5311358075482181,0.019302207870044424
p31069,0.002623809583844502,0.00021134061648690872,7.203634237209626e-06,0.37365056814780995,2.1118326448931444e-07,0.00029123571703931826,1.5987354124809393e-05,0.607145713916495,0.016053929846697738
p31083,0.010973495582464054,0.0016659516628181271,3.294649895135976e-05,0.18098502048815263,9.196884213162109e-07,6.376550950770906e-05,0.00012814012184508505,0.7446202202942126,0.06152954015362728
p31177,0.06076211384890728,0.004984452675616501,0.0002429955697573287,0.039390545452673106,6.595968550914048e-06,1.930596968634094e-05,0.00039461947319196946,0.869475036824707,0.0247243342169097
p31091,0.00575877946379146,0.00038510723189279927,1.567369157301952e-05,0.28944201411855186,4.6662747452778616e-07,0.00018494328375945996,2.8735627418196382e-05,0.6897029193893118,0.014481360566226975
p31147,0.08503301652083331,0.010865044663816525,0.00024723955861370993,0.027314295615114892,6.864988285475965e-06,1.0709497634375358e-05,0.0008064812891523353,0.8063740647060695,0.06934228316048
p31065,0.007943815992302181,0.0012339798566767509,2.3975942134879802e-05,0.22531736492623006,6.688062315900474e-07,7.817927929740175e-05,9.47998861583157e-05,0.7068270688437407,0.05848014646722802
p31093,0.018534116515428647,0.0019926216580947826,6.747464126370858e-05,0.12644639689946024,1.837624989556851e-06,5.209385743343599e-05,0.00014797951513008322,0.822869016501383,0.02988846278681656
p31175,0.01448229015528208,0.0013870415792137986,5.427744058540349e-05,0.15149139234823222,1.4999551182359396e-06,6.851221250954434e-05,0.00010272541282862585,0.8100183608039299,0.022393900092300155
p31027,0.05207071175586852,0.0019235008809932713,0.0001522402905287428,0.06551828726277395,4.70057152279526e-06,4.323309941469892e-05,0.000186242350664273,0.8694433709327578,0.010657712855475914
p31169,0.03175490637413429,0.00446272879941611,9.376267768651944e-05,0.07581131755471078,2.6196101593431995e-06,2.818987797923858e-05,0.0003372193160040738,0.8198155561372056,0.06769369965270418
p31049,0.0017891355686151912,0.00020528286407779772,5.687165440544005e-06,0.46779124652405785,1.5807150285532035e-07,0.00023090705562954443,1.5741749072194535e-05,0.5098634657883687,0.0200983752132354
p31123,0.002044939426900166,0.00015162558771955557,5.254358312189927e-06,0.3607472886045892,1.5728010987803013e-07,0.000426646688053008,1.149447214439899e-05,0.6213332929312804,0.01527930065089117
p31079,0.01912826675872418,0.002257145269801287,6.423683236798708e-05,0.12482235530441303,1.7678525591288344e-06,4.879274646358496e-05,0.00016895674992667797,0.8146133684825703,0.03889511000317376
p31081,0.025159575301717203,0.002888852181861869,8.42367211404215e-05,0.09907595972093335,2.3224264643008384e-06,3.8897899585783236e-05,0.0002152657042371607,0.8327997576940304,0.03973513235002949
p31115,0.01388049040970918,0.0009622598026794755,4.320377217919488e-05,0.1706113252601147,1.2540443952179911e-06,9.365250049553726e-05,7.112720688012872e-05,0.7975521597331557,0.01678452727039064
p31063,0.0058737431487410246,0.0008305943676434007,1.8807209842166997e-05,0.2786650123931448,5.19467067206987e-07,0.0001018328305645317,6.383713238987598e-05,0.6723361196288414,0.0421095338217655
p31125,0.024467191811484223,0.002427550326451242,9.326460918849112e-05,0.09770908038410696,2.531329660484797e-06,4.205376565123617e-05,0.00017929590512665998,0.8482918575411761,0.026787174327154568
p31107,0.040169871166458725,0.0014513801943188429,0.000108389440571553,0.08879851665308036,3.39127346566276e-06,5.880980311724966e-05,0.00013336000876207102,0.8590557473763797,0.010220534083845684
p31135,0.002398620633727217,0.0003255505806524179,8.231037000262905e-06,0.43414693604614363,2.2436285686422156e-07,0.00016428032154199067,2.5032805700962684e-05,0.5369386400108717,0.02599248420150506
p31037,0.038971564052546724,0.0034199323113434763,0.00015618397709930894,0.061588720422341724,4.227880597489409e-06,2.9687233641162744e-05,0.00025296772543060566,0.871617269659338,0.023959446737661448
p31023,0.039635402522640466,0.0038755011602824895,0.00014505104268851425,0.06396316694705255,3.964439794458712e-06,2.6749587752606622e-05,0.0002858167333825484,0.8609389063332674,0.031125441233139043
p31031,0.007652123697868097,0.0003226773930564271,1.7320855959639814e-05,0.25979297599462875,5.568014166875333e-07,0.00022760286279014858,2.385367491164845e-05,0.7227170098152155,0.009245878904153229
p53069,3.580355656446517e-07,4.5546528453127036e-09,4.001902038658215e-10,0.04378057462852247,2.8876139883225132e-11,0.9559553517309816,3.429339011799657e-10,0.0002613117831863072,2.3984950909049045e-06
p53041,5.882351413369683e-07,6.894477686056785e-09,6.508441266902384e-10,0.07076034678723017,4.808851164791712e-11,0.9287993706623175,5.223951574245524e-10,0.00043645741796791127,3.2287815374991033e-06
p53031,3.715747593966411e-07,3.2800511474956284e-09,3.9395804274468883e-10,0.04402329283475435,3.404311464688709e-11,0.9556725461282265,2.780412070080633e-10,0.0003025312141281576,1.254262037958369e-06
p53013,3.2072158176555256e-06,3.827271528801588e-08,3.6329168888881984e-09,0.3963607427100281,2.486316674151269e-10,0.6014454177970536,2.97620434036055e-09,0.0021765139038402927,1.4073242792205566e-05
p53037,1.2643609477353324e-06,1.2559792700493166e-08,1.37147589839378e-09,0.14995336807980295,1.0687135485440447e-10,0.8490675934938829,1.030054354384594e-09,0.0009731151170066202,4.643880165385012e-06
p53061,8.424014370990251e-07,6.7503089131121545e-09,8.877651078468601e-10,0.10014719463386129,7.84135742146602e-11,0.8991576267068653,6.035321828397451e-10,0.0006921731579871171,2.154779829303485e-06
