,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p61,9.414730043402063e-05,0.0010946096542595028,4.6894275213232205e-07,0.15560290334296104,1.0878422223072809e-08,0.0005257943956229158,9.369222666128484e-05,0.00674171656002963,0.8358466566988573
p62,0.00015845778717293852,0.001217160645055433,7.555473608617071e-07,0.1784999759048011,1.7443884068085934e-08,0.000573570150679929,0.00010337930372252552,0.013973688358384247,0.805472994858939
p63,0.0028684583125640675,0.030533033312380744,1.494758572154235e-05,0.013009633996937603,3.5365737319121235e-07,3.5947514831594294e-05,0.0026629827527628494,0.026857580146438683,0.9240170627209897
p64,0.0005980763886563542,0.017690495970867484,3.4405538532979433e-06,0.012001298948932166,8.496324728288764e-08,3.7222776923505514e-05,0.001589357236460707,0.004714327650860238,0.963365695510199
p65,0.0001576495880959095,0.008380080021365642,1.0270636959532058e-06,0.00676536231280548,2.686637204387064e-08,2.671592187919e-05,0.000894215973122888,0.0010263666664209134,0.982748555586242
p66,0.002609757037208708,0.13960582332601984,1.933017440347327e-05,0.0016425647895495293,5.143636124763103e-07,4.958816702166825e-06,0.012432577663382067,0.009251216658886514,0.8344332571702352
p67,0.000987888051092531,0.06583349309891584,7.446545855670999e-06,0.00218159415866063,2.0244610008188787e-07,6.8079238440467115e-06,0.006670465148381586,0.004054205304507609,0.920257897322642
p68,0.2953176087526043,0.0025318607730252535,0.0006644718477067795,0.010978891402179714,2.523369647351e-05,8.350049478898846e-06,0.0004985168146876952,0.6868891642701567,0.003085902393686972
p69,0.3708021415655088,0.006588141702635606,0.001471633806773841,0.003864240498894212,4.543524590092941e-05,2.7182864964963304e-06,0.0013129488822586311,0.6110891100368455,0.00482362997468601
p7,1.5505627480134822e-06,5.0496992658069925e-08,2.2325137553197964e-09,0.2882780715727441,1.0560686987178199e-10,0.7107149356504067,3.873405780974765e-09,0.0009636119905433637,4.17735150387232e-05
p70,0.28968189110985537,0.01465394959846307,0.001202442424537769,0.00471257699381383,3.2883386893295345e-05,2.6724052793850775e-06,0.001800219739585451,0.6717907475603793,0.01612261678119252
p71,0.38875428201961065,0.034474839990126314,0.0011130071035838013,0.0025794674390572595,3.0293831659914417e-05,1.118228070397503e-06,0.0027003742510230662,0.5351976827777071,0.0351489343591615
p72,0.29828635441090423,0.09591452579146693,0.0012652387436497745,0.0014255935343331302,3.081856439969873e-05,8.61756279250293e-07,0.007070505686101095,0.49354311081736046,0.10246299069550552
p73,0.24696514914470868,0.13683231006809574,0.0010973548319392944,0.0009789236066992057,2.5671048357725575e-05,6.794854295947439e-07,0.01039054359542069,0.4324789276328661,0.17123044058648315
p74,0.7964100240270835,0.0020454332711006525,0.004662846855612634,0.0007590093955487189,0.0005369901119950897,8.718629412202068e-07,0.002112928184944441,0.1931635099113602,0.0003083863794134813
p75,0.8184428411371009,0.004401087800229425,0.00592769602405313,0.001189238071952277,0.0003912343466191938,1.1148840712703353e-06,0.003183694563344502,0.1656274451024532,0.0008356480701761688
p76,0.7351379513844063,0.008135035844319348,0.006781478997456335,0.0011548720060975183,0.00028453201372095216,9.445320764237271e-07,0.004254350334867921,0.24241817092757303,0.0018326639594821456
p77,0.5659881739813405,0.006161112234753556,0.0029542241448414744,0.0016850077865322836,0.0001010299138849987,1.2748766696872627e-06,0.002147175822576151,0.41848837462230565,0.002473626617095573
p78,0.6447230563410695,0.014344917555103465,0.006406504902981958,0.0010012471064016464,0.00019132438509919563,7.299766827033167e-07,0.0049334215889326035,0.32416066436674035,0.004238133776988409
p79,0.7380617437689887,0.020176088115902175,0.012466122704933236,0.000679315574780587,0.0003898079639528755,5.131573038993495e-07,0.008954635787991324,0.21546159537951132,0.0038101775466359514
p8,2.5224219447822676e-07,1.4481722796405054e-08,4.192943319846397e-10,0.3200299164326421,1.7110113142834837e-11,0.6798100685893291,1.1227392605685994e-09,0.00014191878030051416,1.7827914667261654e-05
p80,0.631855560081787,0.032354847800959805,0.008553311211585674,0.0006006782230246291,0.00023342830973241047,4.0832860742839695e-07,0.00956318894463944,0.307459721838304,0.009378855261359504
p81,0.49413515522593787,0.10956674321486111,0.003293313729592005,0.0006569614080380479,8.382683607388582e-05,3.377487584982933e-07,0.009186370709289043,0.3298190499137023,0.053258241213747094
p82,0.6223589913437142,0.0731711034282863,0.005281977666806779,0.0007960973565050346,0.00014483204965495968,3.7858504301500336e-07,0.010827275309141075,0.2592835951507179,0.028135749110130608
